código,clave,descripción,margen de mercado,caja,master,precio,unidad,ean,precio mínimo de venta 2025,precio mínimo de venta 2026,alta rotación,precio mayoreo con IVA,precio distribuidor con IVA,precio público con IVA,precio mayoreo sin IVA,precio distribuidor sin IVA,precio público sin IVA,Marca,Precio Medio Mayoreo sin IVA,Precio Medio Mayoreo con IVA,Codigo SAT,Descripcion SAT,Familia,Descripción Familia,Peso[Kg],Volumen[cm3],HD
47101,F-105EC,"Lámpara espiral T5 105 W alta potencia luz de día, caja",MM0,4,20,280,Pieza,7.51E+12,195,195,0,235,195,280,202.59,168.1,241.38,Volteck,219.83,255,39101605,Lámparas fluorescentes,P065,Focos ahorradores,0.462,4203.25,
47110,POIN-10X,"Portalámpara para intemperie, reforzada , VOLTECK",MM00,20,200,22,Pieza,7.50E+12,13,13,0,18,13,22,15.52,11.21,18.97,Volteck,17.24,20,39111500,Iluminación de interiores y artefactos,P115,Portalámparas,0.045,138.083,
47183,MUL-627,Multicontacto 14 AWG 6 entradas supresor de picos 270 joules,MM00,6,36,195,Pieza,7.50E+12,135,135,1,160,135,195,137.93,116.38,168.1,Volteck,150.86,175,39121522,Contactos eléctricos,P284,Multicontactos en barra y de figuras,0.338,1378.23,
47188,MUL-6E,"Multicontacto 16 AWG doméstico 6 entradas, VOLTECK",MM00,6,36,79,Pieza,7.50E+12,55,55,1,65,55,79,56.03,47.41,68.1,Volteck,62.07,72,39121522,Contactos eléctricos,P284,Multicontactos en barra y de figuras,0.17,756,
47199,MUL-320G,"Multicontacto de barra triple aterrizado, a granel, VOLTECK",MM00,24,0,32,Pieza,7.51E+12,20,20,0,26,20,32,22.41,17.24,27.59,Volteck,25,29,39121522,Contactos eléctricos,P466,Multicontactos y adaptadores,0.039,140.317,
47201,RE-AAA2,"Blíster con 4 pilas recargables AAA uso general, 600 mAh",MM00,6,48,105,Juego,7.51E+12,65,65,0,85,65,105,73.28,56.03,90.52,Volteck,81.9,95,31162800,Ferretería en general,P010,Baterías,0.05,88.4,
47202,RE-AA2,"Blíster con 4 pilas recargables AA uso general, 1300 mAh",MM00,6,48,165,Juego,7.51E+12,105,105,0,135,105,165,116.38,90.52,142.24,Volteck,129.31,150,31162800,Ferretería en general,P010,Baterías,0.09,119.85,
47203,RE-9V2,"Blíster con 1 pila recargable 9V uso general, 250 mAh",MM00,6,48,204,Pieza,7.51E+12,129,129,0,169,129,204,145.69,111.21,175.86,Volteck,158.62,184,31162800,Ferretería en general,P010,Baterías,0.045,120.7,
47228,SEFO-LS,"Fotocelda montaje de 1/2 vuelta, tensión 127 - 220 V",MM00,8,48,130,Pieza,7.51E+12,85,85,0,110,85,130,94.83,73.28,112.07,Volteck,103.45,120,39111500,Iluminación de interiores y artefactos,P420,"Luminarios, VOLTECK LAIT",0.095,556.6,
47229,COFO-LS,"Base p/fotocelda montaje de 1/2 vuelta, tensión 110 - 220 V",MM00,8,48,72,Pieza,7.51E+12,45,45,0,59,45,72,50.86,38.79,62.07,Volteck,56.03,65,39121522,Contactos eléctricos,P420,"Luminarios, VOLTECK LAIT",0.142,881.449,
47231,SEMO-EX,"Sensor de movimiento para exterior, VOLTECK",MM00,2,24,200,Pieza,7.50E+12,125,125,0,165,125,200,142.24,107.76,172.41,Volteck,155.17,180,41111900,Instrumentos indicadores y de registro,P458,Sensores y alarmas,0.239,2254.392,
47244,PR-2050,"Lámpara de halógeno 50 W tipo PAR 20, en caja, VOLTECK",MM00,6,24,87,Pieza,7.50E+12,55,55,1,72,55,87,62.07,47.41,75,Volteck,68.1,79,39101601,Lámparas halógenas,P204,Focos de halógeno,0.104,462.708,
47249,JR-50Z,"Lámpara de halógeno azul 50 W tipo MR16 en caja, VOLTECK",MM00,6,36,22,Pieza,7.50E+12,14,14,1,18,14,22,15.52,12.07,18.97,Volteck,17.24,20,39101601,Lámparas halógenas,P204,Focos de halógeno,0.04,261.71,
47250,PR-3890,"Lámpara de halógeno 90 W tipo PAR 38, en caja, VOLTECK",MM00,6,24,165,Pieza,7.50E+12,105,105,1,135,105,165,116.38,90.52,142.24,Volteck,129.31,150,39101601,Lámparas halógenas,P204,Focos de halógeno,0.397,2038.395,
47251,MR-1120,"Lámpara de halógeno 20 W tipo MR11 en caja, VOLTECK",MM00,6,36,16,Pieza,7.50E+12,10,10,1,13,10,16,11.21,8.62,13.79,Volteck,12.5,14.5,39101601,Lámparas halógenas,P204,Focos de halógeno,0.02,147.248,
